idx,label,premise,hypothesis,explanation,ias,n_relations,supports_entailment,supports_contradiction,supports_neutral,consistent,scc_score,scc_weighted,cct_proxy,divergence
66,neutral,man doing carpentry or construction on top of an unfinished building.,The carpenter was almost finished.,A man doing carpentry may not be a carpenter. An unfinished building may not be almost finished.,carpenter|almost|finished,11,False,False,True,True,1.0,1.0,0.0531,0.9469
67,contradiction,This child is on the library steps.,The child is on the school steps.,A library and a school are different buildings.,library|school,19,True,False,False,False,0.0,0.0,0.5227,0.5227
68,contradiction,A smiling man and a baby girl posing for photo.,A girl poses for a selfie with her mother.,The mother cannot also be a man,mother,11,False,False,True,False,0.0,0.0,0.2872,0.2872
69,contradiction,There's a red bus making a left turn into a traffic circle that has a sprinkler system.,A red bus backing up into a spot,The bus cannot be making a left turn and backing up simultaneously,making|left|turn|backing,49,False,False,True,False,0.0,0.0,0.3097,0.3097
70,contradiction,A woman in a gray dress walks down the street.,The woman is eating lunch.,A woman cannot be eating lunch and walks down down the street same time.,walks|street|eating|lunch,35,True,False,False,False,0.0,0.0,0.4184,0.4184
71,contradiction,"A man wearing a graduation cap, a suit, and an orange shawl walks in front of city shops.",A woman wearing an evening gown is at a party.,"A man and a woman are two different people. An outfit consisting of a graduation cap, a suit, and an orange shawl is different than an evening gown. City shops are not the same location as a party.",graduation|cap|suit|orange|shawl|city|shops|evening|gown|party,115,True,False,False,False,0.0,0.0,0.3274,0.3274
72,neutral,Man jumping up in the air and splitting his legs with his mouth open.,A man is performing in front of a crowd.,Just because a man is doing the splits does not mean he is performing.,performing,9,False,False,True,True,1.0,1.0,0.0702,0.9298
73,neutral,A baby girl and little boy are standing next to a guitar and a drum.,The boy is wearing shorts.,Not every boy is wearing shorts.,wearing|shorts,27,False,False,True,True,1.0,1.0,0.3094,0.6906
74,contradiction,A big dog and a smaller dog fight over a piece of fabric.,A group of dogs fighting over a dead body.,The dogs are either fighting over fabric or a dead body.,piece|fabric|dead|body,31,False,False,True,False,0.0,0.0,0.2879,0.2879
75,contradiction,An elderly man talking to a young boy by a table of produce.,the boy  was listening to music,It cannot be an elderly man and a boy at the same time.,talking|boy|listening|music,30,False,False,True,False,0.0,0.0,0.1276,0.1276
76,contradiction,Man in white sweater looks from his press box onto the pitch.,A man writes his sports story,A man who looks onto the pitch cannot write at the same time.,looks|writes,16,False,False,True,False,0.0,0.0,0.0701,0.0701
77,neutral,A man with a light blue t-shirt outside in the open wearing red ear protection while firing a gun.,A man is signaling the start of a race.,"Just because, ""a man with a light blue t-shirt outside in the open wearing red ear protection while firing a gun,"" it does not necessarily mean that he is, ""signaling the start of a race.""",signaling|start|race,24,False,False,True,True,1.0,1.0,0.3722,0.6278
78,entailment,A man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled Lottery Ticket Centre.,A man is near a building labeled Lottery Ticket Centre.,""" A man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled Lottery Ticket Centre."" is a more descriptive version of ""A man is near a building labeled Lottery Ticket Centre"".",walks|building|lottery|ticket|centre,49,False,False,True,False,0.0,0.0,0.2888,0.2888
79,contradiction,A woman in a bathing suit is sitting on a dock over a body of water.,A  woman is swimming in her pool.,The woman cannot be sitting on a dock and swimming in her pool simultaneously.,sitting|dock|swimming|pool,35,True,False,False,False,0.0,0.0,0.4165,0.4165
80,neutral,a young man pouring tea inside of a glass jar.,A man is getting ready to drink ice tea.,It may not be ice tea,ice,10,False,False,True,True,1.0,1.0,0.1144,0.8856
81,neutral,"Five individuals standing on grass next to a brick building, holding their own string instrument.",The people are friends.,People standing together does not imply they are friends.,friends,12,False,False,True,True,1.0,1.0,0.1638,0.8362
82,entailment,"A man in a white shirt and gray slack hitting a golf ball on a golf course, with trees and power lines in the background.",A man is hitting a golf ball.,Is hitting is a rephrasing of hitting.,hitting,7,False,False,True,False,0.0,0.0,0.4853,0.4853
83,contradiction,Two people are riding bicycles next to a building.,A woman is riding a unicycle past a building.,Either there are two people or a woman. One cannot ride a bicycle and a unicycle at the same time. They are either next to a building or past it.,bicycles|unicycle|past,15,True,False,False,False,0.0,0.0,0.0843,0.0843
84,contradiction,A man is walking past a large sign that says E.S.E. Electronics.,A man is running past the sign.,A man can be either walking or running.,walking|running,23,True,False,False,False,0.0,0.0,0.498,0.498
85,contradiction,Dog running with pet toy being chased by another dog.,A dog is being chased by a cat,Dog is different from cat.,dog|cat,37,False,False,True,False,0.0,0.0,0.6382,0.6382
86,entailment,A red dog jumps and catches a tennis ball in its mouth.,a dog catching a ball,The dog is a dog because it is a red dog.,red|dog,40,False,False,True,False,0.0,0.0,0.5578,0.5578
87,neutral,A large group of people gather at a piano bar.,A group of men at a piano bar,People are not assumed to be men.,,0,False,False,True,True,1.0,0.5,0.0,1.0
88,entailment,A boy in the woods.,There is a boy in the woods.,A boy in the woods implies that there is a boy,boy,8,False,False,True,False,0.0,0.0,0.2961,0.2961
89,contradiction,A man with a latex glove and black t-shit is standing in front of a Chevy van.,a man in his van because he caught his victim,Standing in front of a van implies the man is not in his van.,standing|front|van,34,False,False,True,False,0.0,0.0,0.4635,0.4635
90,entailment,A man wearing a black t-shirt that says 'Long Live the Dead' pulls a shopping cart in the street near a NYC yellow taxi cab.,A man is wearing a clever shirt.,"'Long Live The Dead' is a clever phrase to put on a t-shirt, which is a type of shirt.",t-shirt|long|live|dead|clever|shirt,23,False,True,False,False,0.0,0.0,0.8424,0.8424
91,entailment,A man in a market holding some very large green onions while smoking a cigarette.,A man is holding onions.,Both man are holding onions.,holding|onions,11,False,False,True,False,0.0,0.0,0.5322,0.5322
92,entailment,A group of men and boys look upwards at something.,A group of people looking up.,Men and boys are people.,boys,8,False,False,True,False,0.0,0.0,0.1817,0.1817
93,entailment,Xylophonists play in a dark setting.,someone who plays a xylophone,Xylophonists is someone who plays a xylophone.,xylophonists|someone|xylophone,9,False,False,True,False,0.0,0.0,0.6925,0.6925
94,neutral,two women in lingerie with green feathers around waist,A pair of strippers do a dance,Just because they are women in lingerie does not necisarrily mean they are strippers.  That is not revealed until sentence 2,strippers,7,False,False,True,True,1.0,1.0,0.1204,0.8796
95,neutral,A short-haired man in a dark camouflage jacket plays the saxophone on a street corner while people look on in the background.,a man performs on the street for tips,"You can be performing at a planned event, it doesn't mean you are there for tips.",tips,24,False,False,True,True,1.0,1.0,0.1989,0.8011
96,contradiction,A person enjoys a beautiful sunny day paragliding.,The person is swimming.,"The person is either swimming or paragliding, not both.",paragliding|swimming,9,False,False,True,False,0.0,0.0,0.5481,0.5481
97,entailment,Person parasailing with a board in the ocean.,This person is in the ocean.,A person parasailing with a board in the ocean must be in the ocean.,parasailing|board|ocean,18,False,False,True,False,0.0,0.0,0.5927,0.5927
98,neutral,"A man in a blue shirt, blue jeans, and a red apron standing at a grill.",A man in blue jeans cooks hot dogs on the grill.,We do not know he is cooking hot dogs because the food item is never described in sentence 1.,hot|dogs,27,False,False,True,True,1.0,1.0,0.1052,0.8948
99,entailment,A hockey player in blue and red guarding the goal.,a person playing a sport,Hockey is a sport and  player is a person.,hockey|player|sport,27,True,False,False,True,1.0,1.0,0.6126,0.3874
